,2,3,4,5,6,7,8,9,KQJ,A
A2,H,H,H,D,D,H,H,H,H,H
A3,H,H,H,D,D,H,H,H,H,H
A4,H,H,D,D,D,H,H,H,H,H
A5,H,H,D,D,D,H,H,H,H,H
A6,H,D,D,D,D,H,H,H,H,H
A7,S,D,D,D,D,S,S,H,H,H
A8,S,S,S,S,S,S,S,S,S,S
A9,S,S,S,S,S,S,S,S,S,S
